username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,,,,,,
K_E_N_J,05/05/2020 04:04:00,0,0,This might impact #AarogyaSetu app https:// twitter.com/Reuters/status /1257364692353384454 …,,,#AarogyaSetu,1.25738E+18,https://twitter.com/K_E_N_J/status/1257378110275817472,,,,,,,
agarwal_mohit,05/05/2020 04:00:00,2,0,Who thinks that the purpose of #AarogyaSetu is to defeat the virus? The real purpose is to defeat the remaining traces of dissent.,,,#AarogyaSetu,1.25738E+18,https://twitter.com/agarwal_mohit/status/1257377109632339970,,,,,,,
LiberalBillu,05/05/2020 03:59:00,4,7,Meanwhile....... @ajaydevgn 's bodyguard @SetuAarogya #AarogyaSetu #COVIDー19 https:// twitter.com/Reuters/status /1257364692353384454 … pic.twitter.com/KuEAOedLos,,@ajaydevgn @SetuAarogya,#AarogyaSetu #COVID,1.25738E+18,https://twitter.com/LiberalBillu/status/1257376755754635264,,,,,,,
sanjayuki,05/05/2020 03:58:00,0,1,Huge gathering at wineshops... I advice All State Govt. Should link and make mandatory use of #AarogyaSetu app while purchasing of liquors at all #wineshops . #NoAarogyaSetuNoLiquor #COVID2019india @MoHFW_INDIA @pathakswati_ @ABPNews,,@MoHFW_INDIA @pathakswati_ @ABPNews,#AarogyaSetu #wineshops #NoAarogyaSetuNoLiquor #COVID2019india,1.25738E+18,https://twitter.com/sanjayuki/status/1257376671075876865,,,,,,,
sureshkumarTOI,05/05/2020 03:58:00,1,0,#Google and #Apple to kick out #AarogyaSetu from their play stores https:// twitter.com/fs0c131y/statu s/1257372340868038664 …,,,#Google #Apple #AarogyaSetu,1.25738E+18,https://twitter.com/sureshkumarTOI/status/1257376575122702343,,,,,,,
MishiChoudhary,05/05/2020 03:56:00,3,12,Much smarter ppl than I,,,,,,,,,,,,
AaronKharbanda,05/05/2020 03:55:00,0,0,Same for #AarogyaSetu,,,#AarogyaSetu,1.25738E+18,https://twitter.com/AaronKharbanda/status/1257375883826008066,,,,,,,
dr_farrago_,05/05/2020 03:50:00,6,16,Meanwhile,,,,,,,,,,,,
khanhaider,05/05/2020 03:49:00,0,2,It means #AarogyaSetu won’t be available on iOS and Play Store?,,,#AarogyaSetu,1.25737E+18,https://twitter.com/khanhaider/status/1257374372760862721,,,,,,,
NoNotaYesMan,05/05/2020 03:48:00,0,0,whats your honest opinion about #AarogyaSetu not something that you have read...or seen on some news channel ur first vibe.,,,#AarogyaSetu,1.25737E+18,https://twitter.com/NoNotaYesMan/status/1257374051028303877,,,,,,,
